City,ZCTA,CDRegion,MSA,County,Companies2007,Companies2008,Companies2009,Companies2010,Companies2011,Companies2012,Companies2013,Companies2014,Companies2015,Companies2016,Companies2017,Companies2018,Companies2019,Companies2020,Latitude,Longitude
Milton,30004.0,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County,0,0,0,0,0,0,0,0,0,0,0,0,0,2,34.1321631,-84.300666
Monroe,31029.0,Central,"Macon-Bibb County, GA",Monroe County,0,0,1,0,0,0,0,0,0,0,0,0,0,1,33.0142344,-83.9044159
Montezuma,31063.0,West,0,Macon County,0,0,0,0,0,1,2,0,0,0,0,0,0,0,32.3051576,-84.0274073
Monticello,31064.0,East,"Atlanta-Sandy Springs-Alpharetta, GA",Jasper County,0,0,0,0,0,0,0,0,0,0,0,1,0,0,33.3044654,-83.684096
Morrow,30260.0,Metro South,"Atlanta-Sandy Springs-Alpharetta, GA",Clayton County,0,1,0,0,1,0,0,1,0,1,0,0,1,3,33.5831662,-84.33936829999999
Moultrie,31768.0,South,"Moultrie, GA",Colquitt County,1,0,0,0,0,0,1,1,0,0,0,0,0,0,31.179997999999998,-83.7887928
Murrayville,30564.0,Northeast,"Gainesville, GA",Hall County,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34.4187083,-83.9057392
Nashville,31639.0,South,0,Berrien County,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31.2074197,-83.25015479999999
Newnan,30263.0,Metro South,"Atlanta-Sandy Springs-Alpharetta, GA",Coweta County,0,0,1,0,0,1,0,0,4,0,0,1,1,8,33.3806716,-84.79965729999999
Norcross,30071.0,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,3,9,4,2,5,0,2,1,1,2,2,0,0,5,33.9412127,-84.2135309
Oakwood,30566.0,Northeast,"Gainesville, GA",Hall County,0,0,1,0,0,0,0,0,0,0,0,0,0,0,34.227602000000005,-83.8843455
Ocilla,31774.0,South,0,Irwin County,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31.5943567,-83.2504328
Palmetto,30268.0,Metro South,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County,0,0,0,0,1,0,0,0,0,0,0,0,0,0,33.5178907,-84.66965490000001
Patterson,31557.0,Coastal,"Waycross, GA",Pierce County,0,0,1,0,0,0,0,0,0,0,0,0,0,0,31.387438300000003,-82.1401193
